smiles,latent_1,latent_2,latent_3,HBD,HBA,heavy_atoms,MW,has_heteroatoms,has_halogens,has_charges,protonatable_sites,calculation_type,cluster_id,is_cluster_center,distance_to_centroid,centroid_latent_1,centroid_latent_2,centroid_latent_3
Cn1ccc(CNc2nncn2C)c1,4.901149084123291,2.3256834495223995,-2.354882001712039,1,5,14,191.23800000000003,True,False,False,5,DFT,0,True,0.07278130624035031,4.8911667179404725,2.39032143717609,-2.3229539348190196
CCCCN1CCC(C(N)=O)CC1,-3.000307496473108,1.0456988058104368,-0.527761595267339,1,2,13,184.28299999999993,True,False,False,3,DFT,1,True,0.09361976391246421,-3.0877231861181267,1.0380403255461839,-0.49513484123091484
CCC(=O)CN,0.0108415881084798,-0.9742508912613024,1.3040878440463215,1,2,6,87.12200000000001,True,False,False,2,DFT,2,True,0.055125647075164944,0.06070978034895552,-0.9603963078851148,1.285112837126827
C=C(C)CCNC(=O)CC(C)(C)C#N,-0.7779846913095879,-4.490375585755971,2.4455514978771897,1,2,14,194.278,True,False,False,3,DFT,3,True,0.03874683413824632,-0.7858688081455854,-4.5033337108121465,2.4812060186632223
CCCCNC1CCC(N(C)C)CC1,-3.5808764182851087,-0.4504747018877214,-2.638154108916868,1,2,14,198.35399999999993,True,False,False,2,DFT,4,True,0.04176312653241491,-3.563357130401965,-0.48185774593605246,-2.6594223442947866
C[C@H](N)C[C@@H](C)NCCC(C)(C)C,-0.2804303717817801,-3.3987070947088043,-2.8410690442056725,2,2,13,186.34299999999996,True,False,False,2,DFT,5,True,0.05066881231662128,-0.2796603640056467,-3.354149259233568,-2.816958156056053
N[C@@H]1CC[C@H]2OCC[C@@H]2C1,-2.626366094143242,3.849622066142525,-0.0986200422774807,1,2,10,141.21399999999997,True,False,False,2,DFT,6,True,0.07758256611573075,-2.5690786383889597,3.7984106444043735,-0.10932481980249555
CC1(NC(=O)c2ccncc2)COC1,2.718419917488819,1.42150566248364,2.0067532119583493,1,3,14,192.21799999999996,True,False,False,4,DFT,7,True,0.029648272535305734,2.724289727522482,1.45032892540875,2.0104660153259486
O=C(O)CSC1CCCC1,-1.7738163021209656,0.8572059359474516,2.033455848804372,1,2,10,160.23799999999997,True,False,False,2,DFT,8,True,0.03628336549160351,-1.80910438505602,0.864621035026594,2.0294247050693373
Cc1ncoc1CNCCO,2.5701896761694063,-0.0807025294769844,-2.4314002645995667,2,4,11,156.185,True,False,False,4,DFT,9,True,0.014156129083258688,2.568114567790117,-0.06671109780826545,-2.4308260210139214
CC1(C(=O)Nn2ccnn2)COC1,1.0147958297885165,1.6173810489190723,0.5261871284592439,1,5,13,182.18299999999996,True,False,False,6,DFT,10,True,0.04398347543382849,1.0463325779739012,1.6136584617962524,0.5566193805980988
CCOCCN(CC)[C@H](CC)CO,-0.4923740665047371,-4.543811344947526,-3.526434600843895,1,3,13,189.299,True,False,False,3,DFT,11,True,0.030373693455373676,-0.4970246443423493,-4.523448536711315,-3.504382629942577
CCc1ccccc1CNC(=N)NC,4.174034299159136,-0.3426090800197781,0.4293513957516712,3,1,14,191.278,True,False,False,3,DFT,12,True,0.04927787102712352,4.170481605011205,-0.391726974608985,0.43111756912386173
C=CC(=O)Nc1ccc(C#N)cc1,3.581082813903441,-1.1698068268188386,2.400417213481191,1,2,13,172.18699999999998,True,False,False,3,DFT,13,True,0.011089525431421316,3.5759894670984043,-1.1794200271915862,2.3982673829736467
CCN(C(=O)CCC(C)(C)O)C1CC1,-1.5669677124417971,-2.5985652769491314,0.5805371829546851,1,2,14,199.29399999999998,True,False,False,3,DFT,14,True,0.04482371882096224,-1.531316175403668,-2.6181411005322937,0.5616978409597932
CCOC(=O)[C@@H]1CC[C@H]1C(=O)O,-2.261266770207344,-1.1735939782364713,6.381244630454814,1,3,12,172.17999999999998,True,False,False,4,DFT,15,True,0.12126659769992204,-2.1891860777377024,-1.191355071627838,6.477132612247919
CCN(CC(N)=O)Cc1occc1C,2.537064172253693,-1.6000828814073893,1.560641623043569,1,3,14,196.25,True,False,False,4,DFT,16,True,0.04698645093408769,2.518745742476625,-1.636705718262665,1.583683531006147
O=C(CNCC1CC1)N1CCOCC1,-4.488451152184931,2.7436922992242523,1.3110822965958893,1,3,14,198.26599999999996,True,False,False,4,DFT,17,True,0.03007128022266773,-4.483843534915297,2.754448726917385,1.2833811951627478
Cc1nc2cccc3c2n1CCN3,3.817022587799463,3.4966192396425337,0.1097322808978832,1,3,13,173.21899999999994,True,False,False,3,DFT,18,True,0.0498632607935042,3.799024460052021,3.481624551249597,0.1537501351680144
CC(C)NC(=O)CCNCCC#N,-0.9280462420503174,-5.633032171646494,-2.1538764132633834,2,3,13,183.25499999999997,True,False,False,4,DFT,19,True,0.009666267051828431,-0.929162662321188,-5.629873394668577,-2.162943521539997
C=C(C)CONC(=O)[C@@H](O)C1CC1,-1.9406071534754037,-3.084629016185548,2.8079817854658624,2,3,13,185.22299999999996,True,False,False,4,DFT,20,True,0.07136277707486152,-1.9443644714607484,-3.1558924359178655,2.8082131324972646
Cc1n[nH]c2cnccc12,5.8018232099572185,2.5280326603845795,-0.5300202052550345,1,2,10,133.15399999999997,True,False,False,3,DFT,21,True,0.059449191309596826,5.749148539508433,2.503007082083334,-0.541566021430826
CCCCc1nncn1[C@@H]1CCNC1,0.272092634816363,2.710066326546145,-2.3167911197927675,1,4,14,194.28199999999998,True,False,False,4,DFT,22,True,0.047079072099033656,0.24824951293990005,2.670587286365024,-2.3073386092655284
CCC1(CN[C@@H]2CCOC2)CCCC1,-4.592276425481465,3.801011626200871,-1.403516108007585,1,2,14,197.32199999999992,True,False,False,2,DFT,23,True,0.022835273570282987,-4.582942799084781,3.7809749421395575,-1.397783357433569
N[C@@H]1CC12CC(C(=O)O)C2,-1.910465106509736,1.4285865863333116,3.808738289690836,2,2,10,141.16999999999996,True,False,False,3,DFT,24,True,0.03316475216278347,-1.8970857633494629,1.454928781779635,3.7936723445931597
Nc1ncc([C@]2(O)CCOC2)s1,1.3696758978778387,3.134338286650516,-0.3560937499911538,2,5,12,186.236,True,False,False,4,DFT,25,True,0.054059505221128616,1.4073387026039117,3.114444944867871,-0.32280413903461364
COc1ccc2[nH]c(C(=O)O)cc2c1,4.90007743686676,0.7402913789441125,3.3084998445599862,2,2,14,191.186,True,False,False,4,DFT,26,True,0.03412271310475387,4.889503464879005,0.7504104419527792,3.3393244326327918
C[Si](C)(C)CN(CCO)C1CC1,-0.9963039522730616,-0.5941711760722072,-2.175454943963985,1,2,12,187.35899999999998,True,False,False,2,DFT,27,True,0.041982168576668095,-1.0183315648720295,-0.5830925801439264,-2.1414762524964277
CC(C)(O)CN1CCC(CN)CC1,-2.4121530836347818,2.259698004971973,-1.9276004384536407,2,3,13,186.29899999999998,True,False,False,3,DFT,28,True,0.0826958327715206,-2.4113964611102983,2.2566241298299974,-1.8449652185305214
CC(C)(C)OC(=O)n1cc(CO)cn1,2.197932965913129,-0.5222414261384137,0.1185618763079684,1,5,14,198.22199999999998,True,False,False,5,DFT,29,True,0.04334095387653704,2.2334733503574977,-0.4976297418542474,0.11546601565685836
CC[C@@H](C)N(OC)C(=O)CO,-0.3419803242235371,-3.24036116381136,-0.1305657142723039,1,3,11,161.201,True,False,False,4,DFT,30,True,0.011427886520227146,-0.33546167203553345,-3.243020707490596,-0.12156401491111317
