original_index,smiles,latent_1,latent_2,latent_3,HBD,HBA,heavy_atoms,MW,has_heteroatoms,has_halogens,has_charges,protonatable_sites,cluster_id,calculation_type,is_cluster_center,distance_to_centroid,dft_representative,distance_to_dft,centroid_latent_1,centroid_latent_2,centroid_latent_3
13697,NCCN[C@@H]1CNC[C@H]1O,-2.136919415545345,2.862222948026203,-1.0639618876203,4,4,10,145.206,True,False,False,4,0,DFT,True,0.04000156495056881,728658,0.0,-2.110097057416165,2.839517212756312,-1.0830704168347165
47871,Cc1noc([C@@H](N)CO)n1,2.6078470284304784,0.6150909170736165,-2.075723400571291,2,5,10,143.14600000000002,True,False,False,5,1,DFT,True,0.061464791762541,686946,0.0,2.5585627589830677,0.6095003382362173,-2.0394228931408103
178762,CCNC(=O)CCOC,-0.6365987479538452,-4.092547973394182,1.6506632107965409,1,2,9,131.17499999999998,True,False,False,3,2,DFT,True,0.023171381183872138,286252,0.0,-0.644348640480398,-4.08301370834124,1.6703088174732368
433256,NCC(=O)N(C1CC1)C1CC1,-2.032991664150887,0.4175862434900915,0.9190856476812832,1,2,11,154.21299999999997,True,False,False,3,3,DFT,True,0.050561213456795026,723737,0.0,-2.0639674370353567,0.44676256211563903,0.9463927938502603
414044,COC[C@@H](O)CNC1CC2(CCC2)C1,-2.823150982768156,-1.324071706606969,-2.7160290665790803,2,3,14,199.29399999999993,True,False,False,3,4,DFT,True,0.10438842131006833,475020,0.0,-2.758985884189342,-1.3992810091104024,-2.74954538267925
463848,Nc1ccc(CCC(=O)NO)cc1,3.356941831178593,-0.2526547308315049,1.783466958763909,3,3,13,180.20700000000002,True,False,False,4,5,DFT,True,0.012888018135240008,747730,0.0,3.3513730000560864,-0.24327022120372063,1.7766098376165687
642463,CCCCCN(C)CC[C@@H](C)O,-0.638872627137033,-5.004834276479474,-5.835140149806518,1,2,12,173.3,True,False,False,2,6,DFT,True,0.05379050351564945,232642,0.0,-0.6500935697084336,-4.972507837922473,-5.876643283260474
23537,C[C@H](N)C(=O)NC[C@@H](O)[C@@H](C)O,-0.4917058003933135,-3.82826162792068,-0.8301936041566971,4,4,12,176.216,True,False,False,5,7,DFT,True,0.027451165101062637,591004,0.0,-0.47624745082455405,-3.84813311183772,-0.8411357255666723
196627,Nc1ccc(=O)n(C2CC2)c1,1.7681440780955815,2.92106736645268,0.3848855072058901,1,3,11,150.181,True,False,False,3,8,DFT,True,0.026826764620862316,747526,0.0,1.7795720337612604,2.9407033108952083,0.3706199257183947
12937,CN(C(=O)C(N)=O)[C@@H]1CCC[C@H]1O,-2.345072239422871,0.5528483843393089,3.04137794024146,2,3,13,186.21099999999998,True,False,False,5,9,DFT,True,0.027177920003717198,392921,0.0,-2.3212407096127015,0.5650307255317759,3.0460989661581204
