smiles,latent_1,latent_2,latent_3,HBD,HBA,heavy_atoms,MW,has_heteroatoms,has_halogens,has_charges,protonatable_sites,calculation_type,cluster_id,dft_representative,distance_to_dft,distance_to_centroid,is_cluster_center,centroid_latent_1,centroid_latent_2,centroid_latent_3
Cn1ccc(CNc2nncn2C)c1,4.901149084123291,2.3256834495223995,-2.354882001712039,1,5,14,191.23800000000003,True,False,False,5,PM7,0,434490,0.0,0.07278130624035031,True,4.8911667179404725,2.39032143717609,-2.3229539348190196
C[C@H](N)c1cn(Cc2ncc[nH]2)nn1,4.915744487483369,2.4704022889128208,-2.3432774454069154,2,5,14,192.22600000000003,True,False,False,6,PM7,0,434490,0.1459151602842992,0.08619776478076617,False,4.8911667179404725,2.39032143717609,-2.3229539348190196
C[C@@H](N)c1cn(Cc2ncc[nH]2)nn1,4.915744487483369,2.4704022889128208,-2.3432774454069154,2,5,14,192.22600000000003,True,False,False,6,PM7,0,434490,0.1459151602842992,0.08619776478076617,False,4.8911667179404725,2.39032143717609,-2.3229539348190196
Cn1cncc1CNc1nncn1C,4.757939683147255,2.365784410274636,-2.296443025461252,1,6,14,192.226,True,False,False,6,PM7,0,434490,0.15978777652376155,0.13803744710741261,False,4.8911667179404725,2.39032143717609,-2.3229539348190196
Cn1cnnc1NCc1ccnn1C,4.931534676145874,2.4667143804370983,-2.451730240818595,1,6,14,192.22600000000003,True,False,False,6,PM7,0,434490,0.17376014817923596,0.15507672558011038,False,4.8911667179404725,2.39032143717609,-2.3229539348190196
Cn1cnc(NCc2cncn2C)n1,5.036910522633659,2.435470748847225,-2.311369131599836,1,6,14,192.226,True,False,False,6,PM7,0,434490,0.17993829260289415,0.15301609267149033,False,4.8911667179404725,2.39032143717609,-2.3229539348190196
Cn1cc(CNc2nnco2)cn1,5.010319992397271,2.2486935396078875,-2.217490876017702,1,6,13,179.18300000000002,True,False,False,6,PM7,0,434490,0.1916299946813325,0.21302211377013552,False,4.8911667179404725,2.39032143717609,-2.3229539348190196
Cc1nnc(NCc2nccn2C)o1,4.9933555032906645,2.242024376423375,-2.1966347270482154,1,6,14,193.21,True,False,False,6,PM7,0,434490,0.20135308337839017,0.21997979073334373,False,4.8911667179404725,2.39032143717609,-2.3229539348190196
Cn1nccc1-c1noc(CCN)n1,4.896061349648304,2.5148953512794017,-2.2817983472298504,1,6,14,193.20999999999998,True,False,False,6,PM7,0,434490,0.20289960414219968,0.13128747040134606,False,4.8911667179404725,2.39032143717609,-2.3229539348190196
Cn1nccc1-c1nc(CCN)no1,4.896061349648304,2.5148953512794017,-2.2817983472298504,1,6,14,193.20999999999998,True,False,False,6,PM7,0,434490,0.20289960414219968,0.13128747040134606,False,4.8911667179404725,2.39032143717609,-2.3229539348190196
